25	10	228							
0									
0.033	0.039	0.072	0.071	0.059	0.199	0.076	0.05	0.337	0.064
2	0	5	0.3	0.34	0.38				
2	0	5	0.31	0.35	0.39				
2	0	5	0.0848	0.0954	0.106				
2	0	2	0.0671	0.0755	0.0839				
2	0	2	0.2059	0.2316	0.2574				
2	1	6	0.4154	0.4798	0.5642				
2	1	6	0.4354	0.4898	0.5442				
2	1	6	0.7579	0.8527	0.9474				
2	1	6	0.7633	0.8587	0.9541				
2	2	4	0.4115	0.6254	0.8394				
2	2	4	0.4095	0.6482	0.8869				
2	2	8	0.885	0.9056	0.9262				
2	2	8	0.3927	0.5168	0.6409							
2	3	7	0.3006	0.3382	0.3758				
2	3	7	0.6257	0.7039	0.7821				
2	3	7	0.3006	0.3382	0.3758				
2	4	0	0.5502	0.6189	0.6877				
2	4	0	0.6353	0.7147	0.7941				
2	4	0	0.0821	0.0923	0.1026				
2	4	0	0.2025	0.2278	0.2531				
2	4	0	0.679	0.7639	0.8488				
2	4	0	0.713	0.8021	0.8912				
2	4	0	0.674	0.7582	0.8425				
2	4	0	0.2669	0.3002	0.3336				
2	4	0	0.6732	0.7574	0.8416				
2	4	0	0.7475	0.8409	0.9343				
2	5	9	0.2831	0.3185	0.3539				
2	5	9	0.3257	0.3664	0.4071				
2	5	9	0.0739	0.0831	0.0923				
2	5	9	0.1844	0.2074	0.2305				
2	5	9	0.369	0.4151	0.4612				
2	5	9	0.4778	0.5375	0.5973				
2	5	9	0.694	0.7807	0.8675				
2	5	9	0.1033	0.1162	0.1292				
2	5	9	0.6286	0.7072	0.7857				
2	5	9	0.7493	0.843	0.9366				
2	6	1	0.5109	0.5748	0.6387				
2	6	1	0.4237	0.4767	0.5297				
2	6	1	0.1187	0.1335	0.1484				
2	6	1	0.1787	0.201	0.2233				
2	6	1	0.6262	0.7045	0.7828				
2	6	1	0.7257	0.8165	0.9072				
2	6	1	0.2366	0.2662	0.2958				
2	6	1	0.2447	0.2753	0.3059				
2	6	1	0.1759	0.1979	0.2199				
2	6	1	0.7639	0.8594	0.9549				
2	7	3	0.3139	0.3531	0.3924				
2	7	3	0.3603	0.4053	0.4504				
2	7	3	0.0886	0.0997	0.1108				
2	7	6	0.0746	0.0839	0.0932				
2	7	5	0.4034	0.4538	0.5043				
2	7	5	0.4483	0.5043	0.5604				
2	7	5	0.448	0.504	0.56				
2	7	3	0.1645	0.185	0.2056				
2	7	8	0.2059	0.2316	0.2574				
2	7	5	0.712	0.801	0.89				
2	8	4	0.1745	0.1963	0.2181				
2	8	4	0.3946	0.4439	0.4933				
2	8	4	0.0854	0.096	0.1067				
2	8	9	0.1765	0.1986	0.2207				
2	8	4	0.4193	0.4717	0.5241				
2	8	4	0.471	0.5299	0.5887				
2	8	4	0.6927	0.7793	0.8659				
2	8	4	0.0831	0.0935	0.1038				
2	8	4	0.6222	0.7	0.7778				
2	8	4	0.7135	0.8027	0.8919				
2	9	1	0.5426	0.6104	0.6782				
2	9	1	0.6341	0.7134	0.7927				
2	9	1	0.0936	0.1053	0.117				
2	9	1	0.1571	0.1768	0.1964				
2	9	1	0.6824	0.7677	0.853				
2	9	1	0.7277	0.8186	0.9096				
2	9	1	0.7577	0.8525	0.9472				
2	9	1	0.1394	0.1568	0.1742				
2	9	1	0.68	0.765	0.85				
2	9	1	0.7639	0.8594	0.9549				
2	10	4	0.2068	0.2327	0.2585				
2	10	4	0.412	0.4634	0.5149				
2	10	9	0.0802	0.0903	0.1003				
