50 	 10 	 500 
0 
0.029    0.625 0.044 0.019 0.01    0.01 0.03    0.07 0.106 0.057 
1 	  0 	   6 	 0.4827 	 0.5430 	 0.6033 
2 	  0 	   6 	 0.5190 	 0.5839 	 0.6487 
3 	  0 	   6 	 0.1030 	 0.1159 	 0.1288 
4 	  0 	   6 	 0.0691 	 0.0777 	 0.0863 
5 	  0 	   6 	 0.4164 	 0.4685 	 0.5206 
6 	  0 	   6 	 0.4662 	 0.5245 	 0.5827 
7 	  0 	   6 	 0.7579 	 0.8527 	 0.9474 
8 	  0 	   6 	 0.3064 	 0.3447 	 0.3830 
9 	  0 	   6 	 0.5370 	 0.6042 	 0.6713 
10 	  0 	   6 	 0.7634 	 0.8589 	 0.9543 
1 	  1 	   8 	 0.1087 	 0.1223 	 0.1359 
2 	  1 	   8 	 0.1342 	 0.1509 	 0.1677 
3 	  1 	   8 	 0.0859 	 0.0966 	 0.1074 
4 	  1 	   8 	 0.0891 	 0.1002 	 0.1113 
5 	  1 	   8 	 0.3730 	 0.4197 	 0.4663 
6 	  1 	   8 	 0.4574 	 0.5146 	 0.5718 
7 	  1 	   8 	 0.5951 	 0.6695 	 0.7438 
8 	  1 	   8 	 0.1608 	 0.1809 	 0.2010 
9 	  1 	   8 	 0.2059 	 0.2316 	 0.2574 
10 	  1 	   8 	 0.5092 	 0.5728 	 0.6365 
1 	  2 	   9 	 0.2863 	 0.3221 	 0.3579 
2 	  2 	   9 	 0.3238 	 0.3642 	 0.4047 
3 	  2 	   9 	 0.0661 	 0.0744 	 0.0826 
4 	  2 	   9 	 0.1779 	 0.2002 	 0.2224 
5 	  2 	   9 	 0.3506 	 0.3944 	 0.4382 
6 	  2 	   9 	 0.4623 	 0.5201 	 0.5779 
7 	  2 	   9 	 0.6735 	 0.7577 	 0.8419 
8 	  2 	   7 	 0.1053 	 0.1185 	 0.1317 
9 	  2 	   9 	 0.6212 	 0.6989 	 0.7765 
10 	  2 	   9 	 0.7505 	 0.8443 	 0.9382 
1 	  3 	   4 	 0.3019 	 0.3397 	 0.3774 
2 	  3 	   4 	 0.4675 	 0.5259 	 0.5844 
3 	  3 	   4 	 0.1004 	 0.1129 	 0.1255 
4 	  3 	   4 	 0.2089 	 0.2350 	 0.2611 
5 	  3 	   9 	 0.3443 	 0.3873 	 0.4304 
6 	  3 	   9 	 0.3746 	 0.4214 	 0.4682 
7 	  3 	   4 	 0.3791 	 0.4265 	 0.4738 
8 	  3 	   9 	 0.0849 	 0.0955 	 0.1061 
9 	  3 	   4 	 0.3167 	 0.3563 	 0.3959 
10 	  3 	   4 	 0.6336 	 0.7128 	 0.7920 
1 	  4 	   0 	 0.6108 	 0.6872 	 0.7635 
2 	  4 	   0 	 0.6422 	 0.7225 	 0.8027 
3 	  4 	   0 	 0.1083 	 0.1218 	 0.1353 
4 	  4 	   0 	 0.3113 	 0.3502 	 0.3891 
5 	  4 	   0 	 0.6958 	 0.7828 	 0.8698 
6 	  4 	   0 	 0.7274 	 0.8183 	 0.9092 
7 	  4 	   0 	 0.7561 	 0.8506 	 0.9451 
8 	  4 	   0 	 0.3417 	 0.3844 	 0.4271 
9 	  4 	   0 	 0.6800 	 0.7650 	 0.8500 
10 	  4 	   0 	 0.7639 	 0.8594 	 0.9549 
1 	  5 	   6 	 0.5451 	 0.6132 	 0.6814 
2 	  5 	   6 	 0.5848 	 0.6580 	 0.7311 
3 	  5 	   6 	 0.0922 	 0.1037 	 0.1153 
4 	  5 	   2 	 0.0654 	 0.0736 	 0.0818 
5 	  5 	   6 	 0.4027 	 0.4530 	 0.5033 
6 	  5 	   6 	 0.4175 	 0.4697 	 0.5219 
7 	  5 	   6 	 0.7579 	 0.8527 	 0.9474 
8 	  5 	   6 	 0.4433 	 0.4987 	 0.5541 
9 	  5 	   6 	 0.5582 	 0.6279 	 0.6977 
10 	  5 	   6 	 0.7639 	 0.8594 	 0.9549 
