30 	 10 	 300 
0 
0.    0.994 0.002 0.002 0.    0.    0.    0.001 0.    0.    
1 	  0 	   4 	 0.1437 	 0.1745 	 0.2054 
2 	  0 	   4 	 0.1851 	 0.2146 	 0.2440 
3 	  0 	   4 	 0.0440 	 0.0866 	 0.1291 
4 	  0 	   6 	 0.0359 	 0.0801 	 0.1243 
5 	  0 	   6 	 0.4523 	 0.4743 	 0.4964 
6 	  0 	   6 	 0.5376 	 0.5536 	 0.5696 
7 	  0 	   6 	 0.9377 	 0.9474 	 0.9571 
8 	  0 	   6 	 0.1424 	 0.1801 	 0.2177 
9 	  0 	   6 	 0.6268 	 0.6517 	 0.6765 
10 	  0 	   6 	 0.9464 	 0.9548 	 0.9632 
1 	  1 	   3 	 0.3984 	 0.4292 	 0.4600 
2 	  1 	   3 	 0.4293 	 0.4588 	 0.4882 
3 	  1 	   3 	 0.0690 	 0.1115 	 0.1541 
4 	  1 	   0 	 0.0539 	 0.0981 	 0.1423 
5 	  1 	   5 	 0.3043 	 0.3263 	 0.3483 
6 	  1 	   5 	 0.5384 	 0.5545 	 0.5705 
7 	  1 	   5 	 0.9360 	 0.9457 	 0.9554 
8 	  1 	   5 	 0.1475 	 0.1851 	 0.2227 
9 	  1 	   8 	 0.2325 	 0.2574 	 0.2822 
10 	  1 	   5 	 0.9364 	 0.9448 	 0.9532 
1 	  2 	   9 	 0.3140 	 0.3448 	 0.3756 
2 	  2 	   9 	 0.3695 	 0.3990 	 0.4285 
3 	  2 	   7 	 0.0487 	 0.0913 	 0.1338 
4 	  2 	   9 	 0.1931 	 0.2373 	 0.2815 
5 	  2 	   9 	 0.4593 	 0.4813 	 0.5033 
6 	  2 	   9 	 0.5417 	 0.5578 	 0.5738 
7 	  2 	   9 	 0.8682 	 0.8780 	 0.8877 
8 	  2 	   9 	 0.0853 	 0.1229 	 0.1605 
9 	  2 	   9 	 0.7879 	 0.8128 	 0.8376 
10 	  2 	   9 	 0.9092 	 0.9176 	 0.9260 
1 	  3 	   0 	 0.7529 	 0.7837 	 0.8146 
2 	  3 	   0 	 0.7836 	 0.8130 	 0.8425 
3 	  3 	   0 	 0.0833 	 0.1258 	 0.1684 
4 	  3 	   0 	 0.2888 	 0.3330 	 0.3773 
5 	  3 	   0 	 0.8475 	 0.8696 	 0.8916 
6 	  3 	   0 	 0.8929 	 0.9089 	 0.9250 
7 	  3 	   0 	 0.9321 	 0.9419 	 0.9516 
8 	  3 	   0 	 0.3165 	 0.3541 	 0.3917 
9 	  3 	   0 	 0.8246 	 0.8495 	 0.8743 
10 	  3 	   0 	 0.9462 	 0.9546 	 0.9630 
1 	  4 	   4 	 0.1536 	 0.1844 	 0.2153 
2 	  4 	   4 	 0.2213 	 0.2507 	 0.2802 
3 	  4 	   4 	 0.0688 	 0.1114 	 0.1539 
4 	  4 	   4 	 0.0567 	 0.1009 	 0.1452 
5 	  4 	   4 	 0.3350 	 0.3570 	 0.3790 
6 	  4 	   4 	 0.4981 	 0.5141 	 0.5302 
7 	  4 	   9 	 0.5241 	 0.5338 	 0.5435 
8 	  4 	   9 	 0.0662 	 0.1038 	 0.1414 
9 	  4 	   4 	 0.7345 	 0.7593 	 0.7842 
10 	  4 	   4 	 0.7843 	 0.7927 	 0.8011 
1 	  5 	   8 	 0.1050 	 0.1359 	 0.1667 
2 	  5 	   8 	 0.1371 	 0.1666 	 0.1961 
3 	  5 	   8 	 0.0565 	 0.0991 	 0.1416 
4 	  5 	   5 	 0.0781 	 0.1223 	 0.1665 
5 	  5 	   8 	 0.2991 	 0.3212 	 0.3432 
6 	  5 	   8 	 0.3263 	 0.3424 	 0.3584 
7 	  5 	   8 	 0.8662 	 0.8759 	 0.8856 
8 	  5 	   9 	 0.0659 	 0.1035 	 0.1411 
9 	  5 	   8 	 0.2325 	 0.2574 	 0.2822 
10 	  5 	   8 	 0.2679 	 0.2763 	 0.2847 
1 	  6 	   6 	 0.3032 	 0.3340 	 0.3648 
2 	  6 	   6 	 0.2479 	 0.2773 	 0.3068 
3 	  6 	   6 	 0.0610 	 0.1035 	 0.1461 
4 	  6 	   6 	 0.0434 	 0.0876 	 0.1318 
5 	  6 	   6 	 0.5637 	 0.5858 	 0.6078 
6 	  6 	   6 	 0.5443 	 0.5604 	 0.5764 
7 	  6 	   6 	 0.9377 	 0.9474 	 0.9571 
